Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,inclusion body assembly (GO:0070841),2/6,0.0003664321680484968,0.1422592771772132,0,0,101.51020408163264,803.1179907171842,MAPT;HDAC6
GO_Biological_Process_2021,nicotinamide nucleotide biosynthetic process (GO:0019359),2/7,0.0005113327792346296,0.1422592771772132,0,0,81.20408163265306,615.4043164173056,QPRT;NADSYN1
GO_Biological_Process_2021,peptidyl-lysine deacetylation (GO:0034983),2/8,0.0006795551666861537,0.1422592771772132,0,0,67.66666666666667,493.5655481733249,HDAC6;SIRT2
GO_Biological_Process_2021,lysosome localization (GO:0032418),3/37,0.0008329373632247138,0.1422592771772132,0,0,18.07095209217708,128.13302753808438,VPS33A;HDAC6;PIK3CG
GO_Biological_Process_2021,protein K6-linked ubiquitination (GO:0085020),2/9,0.000870867194754317,0.1422592771772132,0,0,57.99708454810496,408.648679561366,ANKRD39;UBE2T
GO_Biological_Process_2021,mitochondrial translational elongation (GO:0070125),4/89,0.0010375176629096,0.1422592771772132,0,0,9.713235294117649,66.73890423440267,MRPS17;MRPS33;MRPL45;MRPL24
GO_Biological_Process_2021,mitochondrial translational termination (GO:0070126),4/89,0.0010375176629096,0.1422592771772132,0,0,9.713235294117649,66.73890423440267,MRPS17;MRPS33;MRPL45;MRPL24
GO_Biological_Process_2021,positive regulation of epithelial cell migration (GO:0010634),4/94,0.0012713977134132,0.1422592771772132,0,0,9.171296296296296,61.15088756420859,ANXA3;GFUS;PIK3CG;HDAC6
GO_Biological_Process_2021,organelle assembly (GO:0070925),8/425,0.0013184696140679,0.1422592771772132,0,0,4.062767177562298,26.94136134816033,NOTCH1;ARL6;ATG101;MAPT;HAUS5;EXOC2;HAUS2;HDAC6
GO_Biological_Process_2021,translational termination (GO:0006415),4/96,0.0013744948444092,0.1422592771772132,0,0,8.971014492753623,59.1160161126674,MRPS17;MRPS33;MRPL45;MRPL24
GO_Biological_Process_2021,Golgi to plasma membrane transport (GO:0006893),3/48,0.0017818416942912,0.1422592771772132,0,0,13.646048109965635,86.3809554416349,GCC2;EXOC2;LLGL1
GO_Biological_Process_2021,translational elongation (GO:0006414),4/104,0.0018455372762019,0.1422592771772132,0,0,8.25,51.933624907465536,MRPS17;MRPS33;MRPL45;MRPL24
GO_Biological_Process_2021,adherens junction organization (GO:0034332),3/49,0.0018912091143729,0.1422592771772132,0,0,13.348722545943524,83.70368414188104,CTNNB1;NECTIN4;NECTIN1
GO_Biological_Process_2021,mitochondrial translation (GO:0032543),4/105,0.001911353052285,0.1422592771772132,0,0,8.167904290429043,51.130622502952,MRPS17;MRPS33;MRPL45;MRPL24
