Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Nicotinate and nicotinamide metabolism,3/35,0.0007067159044822667,0.0975267948185528,0,0,19.202319587628867,139.31055899468168,QPRT;NADSYN1;SIRT2
KEGG_2021_Human,Salmonella infection,6/249,0.0015760728535172,0.1087490268926887,0,0,5.163383241397426,33.3183778032813,TRADD;VPS33A;CTNNB1;GCC2;EXOC2;PIK3CG
KEGG_2021_Human,Adherens junction,3/71,0.0054200564280536,0.2493225956904661,0,0,9.020012128562763,47.06325773617709,CTNNB1;NECTIN4;NECTIN1
KEGG_2021_Human,mRNA surveillance pathway,3/98,0.0130939766052085,0.3696500383355797,0,0,6.447639717851329,27.954405817650997,PABPC3;CASC3;SMG5
KEGG_2021_Human,RNA transport,4/186,0.0142159977931596,0.3696500383355797,0,0,4.51419413919414,19.200616217146138,EIF2B5;NUP42;PABPC3;CASC3
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,4/193,0.0160717407971991,0.3696500383355797,0,0,4.345458553791887,17.949754270462787,TRADD;CTNNB1;CALML3;PIK3CG
KEGG_2021_Human,Fluid shear stress and atherosclerosis,3/139,0.0325947616635109,0.602988315523649,0,0,4.4945421467556095,15.387531072601112,MGST3;CTNNB1;CALML3
KEGG_2021_Human,RNA degradation,2/79,0.0594897545967717,0.602988315523649,0,0,5.253909355950173,14.8262756693766,EXOSC6;PABPC3
KEGG_2021_Human,Th1 and Th2 cell differentiation,2/92,0.0775653030615549,0.602988315523649,0,0,4.492063492063492,11.484567093173029,NOTCH1;CD3G
KEGG_2021_Human,Human papillomavirus infection,4/331,0.0844574160858518,0.602988315523649,0,0,2.4940112130479104,6.163968224425985,NOTCH1;TRADD;CTNNB1;LLGL1
KEGG_2021_Human,Pathways of neurodegeneration,5/475,0.0898344701970152,0.602988315523649,0,0,2.175811870100784,5.243242119252655,ATG101;SEPTIN5;CTNNB1;CALML3;MAPT
KEGG_2021_Human,Human immunodeficiency virus 1 infection,3/212,0.0902192838327616,0.602988315523649,0,0,2.9138755980861246,7.009362965508448,TRADD;CALML3;CD3G
KEGG_2021_Human,Melanogenesis,2/101,0.0909569913965944,0.602988315523649,0,0,4.081838796124511,9.785671777221246,CTNNB1;CALML3
KEGG_2021_Human,Human cytomegalovirus infection,3/225,0.1031902700601577,0.602988315523649,0,0,2.741432153803288,6.226287833009744,TRADD;CTNNB1;CALML3
KEGG_2021_Human,Mismatch repair,1/23,0.1089472978360328,0.602988315523649,0,0,9.1267217630854,20.232947516534363,LIG1
KEGG_2021_Human,Protein export,1/23,0.1089472978360328,0.602988315523649,0,0,9.1267217630854,20.232947516534363,SEC63
KEGG_2021_Human,Thermogenesis,3/232,0.1104659121595449,0.602988315523649,0,0,2.656687525323009,5.852810917325962,KDM3A;COA1;ATP5ME
KEGG_2021_Human,Alzheimer disease,4/369,0.1137690179944684,0.602988315523649,0,0,2.230022831050228,4.847144273273048,ATG101;CTNNB1;CALML3;MAPT
KEGG_2021_Human,Folate biosynthesis,1/26,0.1222622476286691,0.602988315523649,0,0,8.030303030303031,16.876380218002918,PCBD1
KEGG_2021_Human,Thyroid hormone signaling pathway,2/121,0.1228182019197929,0.602988315523649,0,0,3.392385525638827,7.1140022366712525,NOTCH1;CTNNB1
KEGG_2021_Human,Parkinson disease,3/249,0.128921631654778,0.602988315523649,0,0,2.470958008549158,5.061882426430637,SEPTIN5;CALML3;MAPT
KEGG_2021_Human,Phototransduction,1/28,0.1310292553948657,0.602988315523649,0,0,7.434717545828657,15.109834134055738,CALML3
KEGG_2021_Human,Galactose metabolism,1/31,0.1440174715013112,0.602988315523649,0,0,6.69023569023569,12.964476920040203,GAA
KEGG_2021_Human,RNA polymerase,1/31,0.1440174715013112,0.602988315523649,0,0,6.69023569023569,12.964476920040203,POLR1D
KEGG_2021_Human,Apelin signaling pathway,2/137,0.1499507080843318,0.602988315523649,0,0,2.9879062736205597,5.669398730173793,CALML3;PIK3CG
KEGG_2021_Human,Autophagy,2/137,0.1499507080843318,0.602988315523649,0,0,2.9879062736205597,5.669398730173793,ATG101;RAB33B
KEGG_2021_Human,Base excision repair,1/33,0.152569319997184,0.602988315523649,0,0,6.271464646464646,11.79120788980768,LIG1
KEGG_2021_Human,Fructose and mannose metabolism,1/33,0.152569319997184,0.602988315523649,0,0,6.271464646464646,11.79120788980768,GFUS
KEGG_2021_Human,Measles,2/139,0.1534237633251,0.602988315523649,0,0,2.9439892745419334,5.518659484645247,TRADD;CD3G
KEGG_2021_Human,Starch and sucrose metabolism,1/36,0.165238740567014,0.602988315523649,0,0,5.733044733044733,10.321566994169176,GAA
KEGG_2021_Human,DNA replication,1/36,0.165238740567014,0.602988315523649,0,0,5.733044733044733,10.321566994169176,LIG1
KEGG_2021_Human,Breast cancer,2/147,0.1674678305136682,0.602988315523649,0,0,2.780436312456017,4.968539602428729,NOTCH1;CTNNB1
KEGG_2021_Human,Cell adhesion molecules,2/148,0.1692391088589375,0.602988315523649,0,0,2.761252446183953,4.905206802489739,CD226;NECTIN1
KEGG_2021_Human,Thyroid cancer,1/37,0.1694200671801256,0.602988315523649,0,0,5.57351290684624,9.895070145641316,CTNNB1
KEGG_2021_Human,Adrenergic signaling in cardiomyocytes,2/150,0.1727913280938574,0.602988315523649,0,0,2.7236624379481524,4.7818540898178,CALML3;PIK3CG
KEGG_2021_Human,Primary immunodeficiency,1/38,0.1735806579316256,0.602988315523649,0,0,5.422604422604422,9.495592558231127,IGLL1
KEGG_2021_Human,Oxytocin signaling pathway,2/154,0.1799323214637967,0.602988315523649,0,0,2.651450053705693,4.547699495381422,CALML3;PIK3CG
KEGG_2021_Human,Hepatitis C,2/157,0.1853177460113514,0.602988315523649,0,0,2.599736668861093,4.382332898174394,TRADD;CTNNB1
KEGG_2021_Human,Ferroptosis,1/41,0.1859390303366049,0.602988315523649,0,0,5.015151515151516,8.43717221072756,FTH1
KEGG_2021_Human,Ribosome,2/158,0.1871181588639223,0.602988315523649,0,0,2.5829408686551543,4.329047629874819,MRPS17;MRPL24
KEGG_2021_Human,Necroptosis,2/159,0.188921090423562,0.602988315523649,0,0,2.566359027687508,4.276647055148966,FTH1;TRADD
KEGG_2021_Human,Hippo signaling pathway,2/163,0.1961566278092089,0.602988315523649,0,0,2.502091519837749,4.075511298482724,CTNNB1;LLGL1
KEGG_2021_Human,ABC transporters,1/45,0.2021326772791743,0.602988315523649,0,0,4.558310376492194,7.287967841732019,ABCB10
KEGG_2021_Human,cGMP-PKG signaling pathway,2/167,0.2034270342994011,0.602988315523649,0,0,2.440940012368584,3.887069777699034,CALML3;PIK3CG
