Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,regulation of microtubule polymerization or depolymerization (GO:0031110),3/28,0.0003628213719805087,0.1291726883497172,0,0,24.587628865979383,194.773359177925,ARL2;SKA3;SKA2
GO_Biological_Process_2021,microtubule cytoskeleton organization involved in mitosis (GO:1902850),5/128,0.0004597790589522346,0.1291726883497172,0,0,8.462558836114678,65.03277164246396,PMF1;SPC24;AURKA;CENPS;SKA2
GO_Biological_Process_2021,protein transport (GO:0015031),8/369,0.0005294791166412144,0.1291726883497172,0,0,4.706491629531494,35.50396948312724,HERC2;RAB23;SVBP;RABL3;SNX8;RAB6B;VAMP2;STX10
GO_Biological_Process_2021,DNA repair (GO:0006281),7/298,0.0007460678393126722,0.1291726883497172,0,0,5.071980194361305,36.52177747781135,HERC2;TEX264;ACTR5;CHEK1;PSME4;CENPS;UNG
GO_Biological_Process_2021,endosome organization (GO:0007032),3/41,0.0011263274602029,0.1291726883497172,0,0,16.16549104720564,109.74417204757296,USP8;PLEKHF1;EXOC8
GO_Biological_Process_2021,mitotic spindle organization (GO:0007052),5/157,0.0011560563646971,0.1291726883497172,0,0,6.837950138504155,46.243284058606335,PMF1;SPC24;AURKA;CENPS;SKA2
GO_Biological_Process_2021,chromatin-mediated maintenance of transcription (GO:0048096),2/11,0.0013218400851343,0.1291726883497172,0,0,45.10430839002267,298.984305122014,ZMIZ1;CHEK1
GO_Biological_Process_2021,cellular protein localization (GO:0034613),7/329,0.0013248259055227,0.1291726883497172,0,0,4.576437587657784,30.32564569512856,HERC2;RAB23;RABL3;SNX8;RAB6B;CORO1B;STX10
GO_Biological_Process_2021,vesicle organization (GO:0016050),3/46,0.0015751859953084,0.1291726883497172,0,0,14.282186526012946,92.16840432528492,USP8;PLEKHF1;EXOC8
GO_Biological_Process_2021,ATP transport (GO:0015867),2/12,0.0015810451022911,0.1291726883497172,0,0,40.59183673469388,261.8039188938469,CD47;SLC25A4
GO_Biological_Process_2021,early endosome to Golgi transport (GO:0034498),2/12,0.0015810451022911,0.1291726883497172,0,0,40.59183673469388,261.8039188938469,SNX8;STX10
GO_Biological_Process_2021,negative regulation of nucleocytoplasmic transport (GO:0046823),2/13,0.0018624280503563,0.1291726883497172,0,0,36.89981447124304,231.94759321375395,SP100;RAB23
GO_Biological_Process_2021,chromatin organization involved in regulation of transcription (GO:0034401),2/13,0.0018624280503563,0.1291726883497172,0,0,36.89981447124304,231.94759321375395,ZMIZ1;CHEK1
GO_Biological_Process_2021,positive regulation of calcium-mediated signaling (GO:0050850),2/13,0.0018624280503563,0.1291726883497172,0,0,36.89981447124304,231.94759321375395,TRAT1;PLCG2
GO_Biological_Process_2021,regulation of protein modification process (GO:0031399),3/51,0.0021222963043568,0.1373833141020329,0,0,12.791237113402062,78.73334684431502,PPP2CA;NDUFS4;RABL3
GO_Biological_Process_2021,modulation by host of viral genome replication (GO:0044827),2/15,0.0024908343052083,0.1511625068973297,0,0,31.21978021978022,187.16687708215863,YTHDC2;ZBED1
GO_Biological_Process_2021,DNA metabolic process (GO:0006259),6/277,0.0026883775404158,0.1535537995143432,0,0,4.6233021904687135,27.36448150662464,SP100;CHEK1;PSME4;GMNN;CENPS;UNG
