Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,Inositol phosphate metabolism,3/73,0.0058558838877264,0.5407742097348501,0,0,8.761413843888072,45.03636856812869,IMPA1;PLCG2;PIK3C2A
KEGG_2021_Human,Phosphatidylinositol signaling system,3/97,0.0127385466637258,0.5407742097348501,0,0,6.516560649265189,28.432553772777887,IMPA1;PLCG2;PIK3C2A
KEGG_2021_Human,Longevity regulating pathway,3/102,0.0145721785315227,0.5407742097348501,0,0,6.185879412683536,26.15786422245009,HSPA1L;AKT1S1;HSPA2
KEGG_2021_Human,AMPK signaling pathway,3/120,0.0223556200014071,0.5407742097348501,0,0,5.229447528416601,19.87544374344105,PPP2CA;EEF2K;AKT1S1
KEGG_2021_Human,Vibrio cholerae infection,2/50,0.025948961945953,0.5407742097348501,0,0,8.44047619047619,30.82144266223132,SEC61G;PLCG2
KEGG_2021_Human,Measles,3/139,0.0325947616635109,0.5407742097348501,0,0,4.4945421467556095,15.387531072601112,CCND3;HSPA1L;HSPA2
KEGG_2021_Human,Legionellosis,2/57,0.03305692249429,0.5407742097348501,0,0,7.363636363636363,25.106496966632545,HSPA1L;HSPA2
KEGG_2021_Human,Endocytosis,4/252,0.0377569145088387,0.5407742097348501,0,0,3.301747311827957,10.818461177683751,SPART;USP8;HSPA1L;HSPA2
KEGG_2021_Human,Spliceosome,3/150,0.0394642695250037,0.5407742097348501,0,0,4.155901535872081,13.433368165586538,PRPF18;HSPA1L;HSPA2
KEGG_2021_Human,Cellular senescence,3/156,0.0434970843589142,0.5407742097348501,0,0,3.9917121487770366,12.514262555258686,CCND3;CHEK1;SLC25A4
KEGG_2021_Human,Prion disease,4/273,0.0481984952597617,0.5407742097348501,0,0,3.0407372986369268,9.220815334999154,HSPA1L;NDUFS4;HSPA2;SLC25A4
KEGG_2021_Human,Adherens junction,2/71,0.0492185490137595,0.5407742097348501,0,0,5.865424430641822,17.663636014354466,LMO7;WASF2
KEGG_2021_Human,p53 signaling pathway,2/73,0.0517203452860749,0.5407742097348501,0,0,5.699626329405001,16.881746303056282,CCND3;CHEK1
KEGG_2021_Human,Tight junction,3/169,0.0529113924234194,0.5407742097348501,0,0,3.676686125947087,10.806282780011824,PPP2CA;CGN;RAPGEF6
KEGG_2021_Human,Protein processing in endoplasmic reticulum,3/171,0.0544403566847164,0.5407742097348501,0,0,3.6325478645066274,10.573073804758774,HSPA1L;SEC61G;HSPA2
KEGG_2021_Human,Antigen processing and presentation,2/78,0.058168160710821,0.5416909966195208,0,0,5.323308270676692,15.141709290687697,HSPA1L;HSPA2
KEGG_2021_Human,GABAergic synapse,2/89,0.0732536203857354,0.5502876176981323,0,0,4.647665962936899,12.148197603177868,GNGT2;ABAT
KEGG_2021_Human,Viral carcinogenesis,3/203,0.0816743571184012,0.5502876176981323,0,0,3.0463917525773194,7.63125762325125,SP100;CCND3;CHEK1
KEGG_2021_Human,Fc gamma R-mediated phagocytosis,2/97,0.0849237360045432,0.5502876176981323,0,0,4.254564983888292,10.49176426482804,PLCG2;WASF2
KEGG_2021_Human,Human immunodeficiency virus 1 infection,3/212,0.0902192838327616,0.5502876176981323,0,0,2.9138755980861246,7.009362965508448,GNGT2;CHEK1;PLCG2
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,3/219,0.0971140602860542,0.5502876176981323,0,0,2.8184421534937,6.572238201819216,CCND3;CHEK1;SLC25A4
KEGG_2021_Human,Toxoplasmosis,2/112,0.1081575453020714,0.5502876176981323,0,0,3.6716141001855287,8.166280575904093,HSPA1L;HSPA2
KEGG_2021_Human,Protein export,1/23,0.1089472978360328,0.5502876176981323,0,0,9.1267217630854,20.232947516534363,SEC61G
KEGG_2021_Human,Coronavirus disease,3/232,0.1104659121595449,0.5502876176981323,0,0,2.656687525323009,5.852810917325962,PLCG2;RPL22L1;RPL26L1
KEGG_2021_Human,Sphingolipid signaling pathway,2/119,0.1195188772922953,0.5502876176981323,0,0,3.450723879295308,7.330307004338375,PPP2CA;DEGS1
KEGG_2021_Human,Folate biosynthesis,1/26,0.1222622476286691,0.5502876176981323,0,0,8.030303030303031,16.876380218002918,AKR1C3
KEGG_2021_Human,Shigellosis,3/246,0.1255875097595958,0.5502876176981323,0,0,2.501845488099784,5.190710117207115,AKT1S1;PLCG2;WASF2
KEGG_2021_Human,Cell cycle,2/124,0.1278086254209237,0.5502876176981323,0,0,3.308464369354299,6.806243198091332,CCND3;CHEK1
KEGG_2021_Human,Salmonella infection,3/249,0.128921631654778,0.5502876176981323,0,0,2.470958008549158,5.061882426430637,AHNAK;PIK3C2A;STX10
KEGG_2021_Human,Butanoate metabolism,1/28,0.1310292553948657,0.5502876176981323,0,0,7.434717545828657,15.109834134055738,ABAT
KEGG_2021_Human,Oocyte meiosis,2/129,0.1362302303723226,0.5502876176981323,0,0,3.177406395629118,6.333870360024791,PPP2CA;AURKA
KEGG_2021_Human,beta-Alanine metabolism,1/30,0.1397095639188418,0.5502876176981323,0,0,6.921281783350749,13.622394510819325,ABAT
KEGG_2021_Human,Dopaminergic synapse,2/132,0.1413417095746185,0.5502876176981323,0,0,3.1036106750392465,6.072446585747735,PPP2CA;GNGT2
KEGG_2021_Human,RNA polymerase,1/31,0.1440174715013112,0.5502876176981323,0,0,6.69023569023569,12.964476920040203,POLR2K
KEGG_2021_Human,Apelin signaling pathway,2/137,0.1499507080843318,0.5502876176981323,0,0,2.9879062736205597,5.669398730173793,MYL4;GNGT2
KEGG_2021_Human,Autophagy,2/137,0.1499507080843318,0.5502876176981323,0,0,2.9879062736205597,5.669398730173793,PPP2CA;AKT1S1
KEGG_2021_Human,Estrogen signaling pathway,2/137,0.1499507080843318,0.5502876176981323,0,0,2.9879062736205597,5.669398730173793,HSPA1L;HSPA2
KEGG_2021_Human,SNARE interactions in vesicular transport,1/33,0.152569319997184,0.5502876176981323,0,0,6.271464646464646,11.79120788980768,VAMP2
KEGG_2021_Human,Base excision repair,1/33,0.152569319997184,0.5502876176981323,0,0,6.271464646464646,11.79120788980768,UNG
KEGG_2021_Human,Ubiquitin mediated proteolysis,2/140,0.1551662685109655,0.5502876176981323,0,0,2.922508133688258,5.445386768069675,HERC2;UBE2E1
KEGG_2021_Human,Propanoate metabolism,1/34,0.1568134700259566,0.5502876176981323,0,0,6.081114172023263,11.266469699963473,ABAT
KEGG_2021_Human,Cell adhesion molecules,2/148,0.1692391088589375,0.5502876176981323,0,0,2.761252446183953,4.905206802489739,CD2;PDCD1
KEGG_2021_Human,Phospholipase D signaling pathway,2/148,0.1692391088589375,0.5502876176981323,0,0,2.761252446183953,4.905206802489739,AGPAT5;PLCG2
KEGG_2021_Human,Retrograde endocannabinoid signaling,2/148,0.1692391088589375,0.5502876176981323,0,0,2.761252446183953,4.905206802489739,GNGT2;NDUFS4
KEGG_2021_Human,"Alanine, aspartate and glutamate metabolism",1/37,0.1694200671801256,0.5502876176981323,0,0,5.57351290684624,9.895070145641316,ABAT
KEGG_2021_Human,Adrenergic signaling in cardiomyocytes,2/150,0.1727913280938574,0.5502876176981323,0,0,2.7236624379481524,4.7818540898178,MYL4;PPP2CA
KEGG_2021_Human,Primary immunodeficiency,1/38,0.1735806579316256,0.5502876176981323,0,0,5.422604422604422,9.495592558231127,UNG
KEGG_2021_Human,Ribosome,2/158,0.1871181588639223,0.5690237142377288,0,0,2.5829408686551543,4.329047629874819,RPL22L1;RPL26L1
KEGG_2021_Human,Hippo signaling pathway,2/163,0.1961566278092089,0.5690237142377288,0,0,2.502091519837749,4.075511298482724,PPP2CA;CCND3
KEGG_2021_Human,Huntington disease,3/306,0.1974810551257451,0.5690237142377288,0,0,2.0003062161886294,3.2447219624565453,NDUFS4;SLC25A4;POLR2K
KEGG_2021_Human,Vasopressin-regulated water reabsorption,1/44,0.1981144149654997,0.5690237142377288,0,0,4.664552501761804,7.551493311263548,VAMP2
KEGG_2021_Human,Proteasome,1/46,0.2061310043831236,0.5690237142377288,0,0,4.45679012345679,7.038356248208516,PSME4
KEGG_2021_Human,Influenza A,2/172,0.2125577216442807,0.5690237142377288,0,0,2.3685474189675872,3.667794437782415,CCND3;SLC25A4
KEGG_2021_Human,"Valine, leucine and isoleucine degradation",1/48,0.2140682440880332,0.5690237142377288,0,0,4.266709649688373,6.576964036635908,ABAT
KEGG_2021_Human,Sphingolipid metabolism,1/49,0.21800735103248,0.5690237142377288,0,0,4.177609427609427,6.363445371866637,DEGS1
KEGG_2021_Human,Cysteine and methionine metabolism,1/50,0.2219269115603851,0.5690237142377288,0,0,4.092145949288806,6.1603458876211565,MAT1A
KEGG_2021_Human,N-Glycan biosynthesis,1/50,0.2219269115603851,0.5690237142377288,0,0,4.092145949288806,6.1603458876211565,ALG5
KEGG_2021_Human,Ovarian steroidogenesis,1/51,0.2258270216564654,0.5690237142377288,0,0,4.01010101010101,5.966974015935645,AKR1C3
KEGG_2021_Human,Fanconi anemia pathway,1/54,0.2374116024468537,0.5690237142377288,0,0,3.7825424051839143,5.43914439332398,CENPS
KEGG_2021_Human,Neutrophil extracellular trap formation,2/189,0.2438580650566493,0.5690237142377288,0,0,2.1513696387645966,3.035945977250269,PLCG2;SLC25A4
KEGG_2021_Human,Chemokine signaling pathway,2/192,0.2494084860677239,0.5690237142377288,0,0,2.117078410311493,2.939908923064224,GNGT2;PLCG2
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,2/193,0.2512596651458569,0.5690237142377288,0,0,2.105887381130463,2.908795592655987,GNGT2;PLCG2
KEGG_2021_Human,VEGF signaling pathway,1/59,0.256339055642632,0.5690237142377288,0,0,3.4555903866248694,4.703937185372145,PLCG2
KEGG_2021_Human,Long-term depression,1/60,0.2600683562676618,0.5690237142377288,0,0,3.396849854476973,4.574913980988086,PPP2CA
KEGG_2021_Human,PI3K-Akt signaling pathway,3/354,0.260632549507307,0.5690237142377288,0,0,1.722530619437836,2.3161899797868197,PPP2CA;CCND3;GNGT2
KEGG_2021_Human,Steroid hormone biosynthesis,1/61,0.2637791413086752,0.5690237142377288,0,0,3.34006734006734,4.451117734093463,AKR1C3
KEGG_2021_Human,Arachidonic acid metabolism,1/61,0.2637791413086752,0.5690237142377288,0,0,3.34006734006734,4.451117734093463,AKR1C3
KEGG_2021_Human,Glycerolipid metabolism,1/61,0.2637791413086752,0.5690237142377288,0,0,3.34006734006734,4.451117734093463,AGPAT5
KEGG_2021_Human,Epstein-Barr virus infection,2/202,0.2679339282131197,0.5690237142377288,0,0,2.010204081632653,2.647468657967029,CCND3;PLCG2
KEGG_2021_Human,Diabetic cardiomyopathy,2/203,0.2697872573969225,0.5690237142377288,0,0,2.000101533150574,2.620376153040449,NDUFS4;SLC25A4
KEGG_2021_Human,Cytosolic DNA-sensing pathway,1/63,0.2711455282609312,0.5690237142377288,0,0,3.231997393287716,4.218078497375417,POLR2K
KEGG_2021_Human,Fc epsilon RI signaling pathway,1/68,0.2892437892552286,0.583184651315829,0,0,2.990049751243781,3.709113016933223,PLCG2
KEGG_2021_Human,Mitophagy,1/68,0.2892437892552286,0.583184651315829,0,0,2.990049751243781,3.709113016933223,USP8
KEGG_2021_Human,Lipid and atherosclerosis,2/215,0.2920110215935288,0.583184651315829,0,0,1.8862700009581297,2.3219299603971795,HSPA1L;HSPA2
KEGG_2021_Human,Epithelial cell signaling in Helicobacter pylori infection,1/70,0.2963578762035246,0.583184651315829,0,0,2.9030888596105986,3.530700422312052,PLCG2
KEGG_2021_Human,Non-small cell lung cancer,1/72,0.3034014618596549,0.583184651315829,0,0,2.821027173139849,3.3646345783285243,PLCG2
KEGG_2021_Human,Glioma,1/75,0.3138361616484454,0.583184651315829,0,0,2.7062517062517064,3.1362323637249645,PLCG2
