Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2021,organelle fission (GO:0048285),3/26,0.0002900493873630044,0.1835154651528125,0,0,26.728372926938597,217.7148751207531,ACOT8;MTFR2;GDAP1
GO_Biological_Process_2021,peptidyl-lysine deacetylation (GO:0034983),2/8,0.0006795551666861537,0.1835154651528125,0,0,67.66666666666667,493.5655481733249,HDAC6;SIRT2
GO_Biological_Process_2021,histone H2A-K119 monoubiquitination (GO:0036353),2/8,0.0006795551666861537,0.1835154651528125,0,0,67.66666666666667,493.5655481733249,PCGF6;BMI1
GO_Biological_Process_2021,negative regulation of G0 to G1 transition (GO:0070317),3/38,0.0009010656627178086,0.1835154651528125,0,0,17.55375552282769,123.08574753825548,PCGF6;CHEK1;BMI1
GO_Biological_Process_2021,regulation of G0 to G1 transition (GO:0070316),3/41,0.0011263274602029,0.1835154651528125,0,0,16.16549104720564,109.74417204757296,PCGF6;CHEK1;BMI1
GO_Biological_Process_2021,regulation of microtubule-based movement (GO:0060632),2/11,0.0013218400851343,0.1835154651528125,0,0,45.10430839002267,298.984305122014,CFAP298;HDAC6
GO_Biological_Process_2021,regulation of oxidoreductase activity (GO:0051341),2/13,0.0018624280503563,0.1969221490340826,0,0,36.89981447124304,231.94759321375395,ECSIT;HDAC6
GO_Biological_Process_2021,response to unfolded protein (GO:0006986),3/49,0.0018912091143729,0.1969221490340826,0,0,13.348722545943524,83.70368414188104,DNAJB4;TMBIM6;TOR1B
GO_Biological_Process_2021,dicarboxylic acid catabolic process (GO:0043649),2/14,0.0021657651600423,0.200453597590583,0,0,33.82312925170068,207.5042741698455,ACOT8;QPRT
GO_Biological_Process_2021,regulation of phosphate metabolic process (GO:0019220),2/16,0.0028374149918175,0.2363566688184055,0,0,28.988338192419825,170.01259891772904,SIRT2;SMG6
GO_Biological_Process_2021,histone H2A monoubiquitination (GO:0035518),2/17,0.0032052883489498,0.2410776368785832,0,0,27.05442176870748,155.3722787250682,PCGF6;BMI1
GO_Biological_Process_2021,mitochondrial fission (GO:0000266),2/18,0.003594237117374,0.2410776368785832,0,0,25.362244897959183,142.7494556250508,MTFR2;GDAP1
GO_Biological_Process_2021,negative regulation of calcium ion transport (GO:0051926),2/19,0.0040040456388033,0.2410776368785832,0,0,23.869147659063625,131.7684366549516,PACSIN3;TMBIM6
GO_Biological_Process_2021,negative regulation of cell cycle process (GO:0010948),3/64,0.004051724989556,0.2410776368785832,0,0,10.058644583403751,55.40917594097984,PCGF6;CHEK1;BMI1
GO_Biological_Process_2021,protein import into peroxisome membrane (GO:0045046),2/22,0.0053564969577325,0.2668803024053237,0,0,20.285714285714285,106.08302856731788,SLC25A17;GDAP1
GO_Biological_Process_2021,negative regulation of reactive oxygen species metabolic process (GO:2000378),2/23,0.0058476195920622,0.2668803024053237,0,0,19.318756073858115,99.33164622370634,HDAC6;SIRT2
GO_Biological_Process_2021,protein deacylation (GO:0035601),2/23,0.0058476195920622,0.2668803024053237,0,0,19.318756073858115,99.33164622370634,HDAC6;SIRT2
GO_Biological_Process_2021,chaperone cofactor-dependent protein refolding (GO:0051085),2/26,0.0074389947886241,0.2668803024053237,0,0,16.901360544217688,82.83389842043363,DNAJB4;SDF2
GO_Biological_Process_2021,cellular lipid catabolic process (GO:0044242),2/27,0.0080081065105895,0.2668803024053237,0,0,16.224489795918366,78.32049478663112,ACOT8;SIRT2
GO_Biological_Process_2021,cellular response to unfolded protein (GO:0034620),2/27,0.0080081065105895,0.2668803024053237,0,0,16.224489795918366,78.32049478663112,ABCB10;TMBIM6
GO_Biological_Process_2021,peroxisomal membrane transport (GO:0015919),2/27,0.0080081065105895,0.2668803024053237,0,0,16.224489795918366,78.32049478663112,SLC25A17;GDAP1
GO_Biological_Process_2021,positive regulation of nuclear division (GO:0051785),2/27,0.0080081065105895,0.2668803024053237,0,0,16.224489795918366,78.32049478663112,PHIP;SIRT2
GO_Biological_Process_2021,negative regulation of nucleic acid-templated transcription (GO:1903507),7/464,0.0087005610724924,0.2668803024053237,0,0,3.2023011223265336,15.192894216379653,PCGF6;TRAF6;KAT8;ZNF217;PATZ1;SIRT2;HDAC6
GO_Biological_Process_2021,protein targeting to peroxisome (GO:0006625),2/29,0.0092030974751143,0.2668803024053237,0,0,15.02116402116402,70.4224490277819,SLC25A17;GDAP1
GO_Biological_Process_2021,plasma membrane invagination (GO:0099024),2/30,0.0098285778207101,0.2668803024053237,0,0,14.48396501457726,66.95156387938638,SH3BP1;IGLL1
GO_Biological_Process_2021,mitochondrial translational elongation (GO:0070125),3/89,0.0100963507773187,0.2668803024053237,0,0,7.1256293454807,32.74640846917216,MRPL3;MRPL40;MRPS30
GO_Biological_Process_2021,mitochondrial translational termination (GO:0070126),3/89,0.0100963507773187,0.2668803024053237,0,0,7.1256293454807,32.74640846917216,MRPL3;MRPL40;MRPS30
GO_Biological_Process_2021,post-Golgi vesicle-mediated transport (GO:0006892),3/89,0.0100963507773187,0.2668803024053237,0,0,7.1256293454807,32.74640846917216,AP4M1;RP2;CCDC93
GO_Biological_Process_2021,'de novo' posttranslational protein folding (GO:0051084),2/31,0.0104724512850622,0.2668803024053237,0,0,13.983814215341308,63.75230908786907,DNAJB4;SDF2
GO_Biological_Process_2021,cellular response to topologically incorrect protein (GO:0035967),2/32,0.0111345221222248,0.2668803024053237,0,0,13.517006802721088,60.79550767481704,TMBIM6;HDAC6
GO_Biological_Process_2021,hemopoiesis (GO:0030097),3/94,0.0117059445280262,0.2668803024053237,0,0,6.732411917978928,29.943469004228515,KAT8;PRKX;BMI1
