time,direction,library,Term,Adjusted P-value,Overlap,Genes_short,rank
0 min,DOWN,GO_Biological_Process_2021,regulation of type I interferon production (GO:0032479),0.0650097293770611,5/89,HERC5;POLR3A;DHX33;CTNNB1;TRIM32,1.0
0 min,DOWN,GO_Biological_Process_2021,endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888),0.0931927443481073,6/185,ARF4;DYNC1LI2;COG4;MIA3;YKT6;BET1L,2.0
0 min,DOWN,GO_Biological_Process_2021,mitotic spindle elongation (GO:0000022),0.0931927443481073,2/8,RACGAP1;PRC1,3.0
0 min,DOWN,GO_Biological_Process_2021,mitotic spindle midzone assembly (GO:0051256),0.0931927443481073,2/8,RACGAP1;PRC1,4.0
0 min,DOWN,GO_Biological_Process_2021,DNA replication-independent nucleosome assembly (GO:0006336),0.0931927443481073,3/39,CENPP;CENPC;ASF1B,5.0
0 min,DOWN,KEGG_2021_Human,Terpenoid backbone biosynthesis,0.5544750575033697,2/22,FNTB;ZMPSTE24,6.0
0 min,DOWN,KEGG_2021_Human,SNARE interactions in vesicular transport,0.5544750575033697,2/33,YKT6;BET1L,7.0
0 min,DOWN,KEGG_2021_Human,Phosphatidylinositol signaling system,0.5544750575033697,3/97,INPP5B;PI4KA;CALML3,8.0
0 min,DOWN,KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,0.5544750575033697,4/193,TRADD;CTNNB1;CALML3;JAK1,9.0
0 min,DOWN,KEGG_2021_Human,Basal cell carcinoma,0.6299721272018025,1/63,CTNNB1,10.0
