time,direction,library,Term,Adjusted P-value,Overlap,Genes_short,rank
4 h,DOWN,KEGG_2021_Human,Nicotinate and nicotinamide metabolism,0.0975267948185528,3/35,QPRT;NADSYN1;SIRT2,1.0
4 h,DOWN,KEGG_2021_Human,Salmonella infection,0.1087490268926887,6/249,TRADD;VPS33A;CTNNB1;GCC2;EXOC2;PIK3CG,2.0
4 h,DOWN,GO_Biological_Process_2021,inclusion body assembly (GO:0070841),0.1422592771772132,2/6,MAPT;HDAC6,3.0
4 h,DOWN,GO_Biological_Process_2021,adherens junction organization (GO:0034332),0.1422592771772132,3/49,CTNNB1;NECTIN4;NECTIN1,4.0
4 h,DOWN,GO_Biological_Process_2021,translational elongation (GO:0006414),0.1422592771772132,4/104,MRPS17;MRPS33;MRPL45;MRPL24,5.0
4 h,DOWN,GO_Biological_Process_2021,Golgi to plasma membrane transport (GO:0006893),0.1422592771772132,3/48,GCC2;EXOC2;LLGL1,6.0
4 h,DOWN,GO_Biological_Process_2021,translational termination (GO:0006415),0.1422592771772132,4/96,MRPS17;MRPS33;MRPL45;MRPL24,7.0
4 h,DOWN,KEGG_2021_Human,Adherens junction,0.2493225956904661,3/71,CTNNB1;NECTIN4;NECTIN1,8.0
4 h,DOWN,KEGG_2021_Human,mRNA surveillance pathway,0.3696500383355797,3/98,PABPC3;CASC3;SMG5,9.0
4 h,DOWN,KEGG_2021_Human,RNA transport,0.3696500383355797,4/186,EIF2B5;NUP42;PABPC3;CASC3,10.0
