Protein ID,sample_id,intensity,condition,cells,batch,time,pdl1
A0A075B767,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A0A0B4J2A2,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A0A0B4J2D5,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,1.4885011421298966,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A0A0B4J2E0,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-0.42080834569079784,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A0A0U1RRE5,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,1.0412132679490096,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A0A2R8Y619,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A0A5B9,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A0AVT1,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,1.2928211923768824,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A0FGR8-2,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A0FGR8-6,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,1.2171149573167082,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A0JLT2,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A0JNW5,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-1.6549379508935633,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A0MZ66-3,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A1KXE4,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A1L020,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A1L0T0,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,0.45937663873504775,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A1X283,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A2RRP1,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-0.21807178114198322,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A2RTX5-2,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A2RU67,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A2RUS2-2,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A2VDJ0-3,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A3KMH1,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A3KN83-2,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-0.7284013160027278,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A4D1E9,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,0.33342048527350165,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A4D1P6,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-0.7238049181931991,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A5A3E0,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A5D8V6,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A5PLL7-2,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A5YKK6,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,1.5110792464119047,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A6NC98,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A6NCE7,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,2.475596356665873,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A6NDG6,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,0.06513568276482573,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A6NDU8,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A6NED2,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,0.6123257842907588,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A6NHL2-2,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A6NHR9,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,0.6338143186726075,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A6NHT5,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A6NHX0,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-0.013382626273701348,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A6NIH7,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-1.297369412546967,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A6NJ78,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A6NKF1,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A8K8P3-10,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A8MT69,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-0.23054466944308416,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
A9UHW6,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
B0I1T2,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,1.9124803985982997,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
B2RPK0,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
B5MCN3,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
B7ZAQ6-2,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
C4AMC7,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-0.14940897563168853,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
C9JLW8,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,0.7146422119404736,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
E9PAV3,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,4.216619113342899,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
E9PRG8,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-0.227215386244481,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
L0R6Q1,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,0.3641043732341416,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
L0R819,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
L0R8F8,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-0.40316866747484426,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00115-2,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,1.500623796541019,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00116,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,1.0731317339634519,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00124-3,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00139-1,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,0.7228641286214099,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00139-2,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-1.7774734771701972,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00148,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,1.5604769166898027,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00151,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,1.1567423540869033,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00154-4,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,3.6638496244709433,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00161,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,0.8963134084354198,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00165,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00170,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,1.1159286137052593,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00178,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,0.8900160256485048,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00182-2,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,2.041210776937307,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00186,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,0.3018252463279367,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00189,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00193,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,1.0879301108828923,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00214-2,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00217,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,1.1688780161851984,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00231,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,3.235165357686798,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00232,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,2.3421510024379177,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00233,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,1.1167223090412168,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00244,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,1.9585164368466064,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00255-2,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00257,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,0.6796982697150504,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00264,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,2.4666181036643575,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00267,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,1.2995434124637537,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00268,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-1.0001920709582937,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00273-2,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,0.06273379099947363,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00273,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,1.6475066214575325,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00287,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-1.4348373399492207,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00299,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,4.644171832771045,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00303,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,1.0554106010413857,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00308-2,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-14.982096887602294,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00311,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-0.756245007027939,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
O00329,230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity,-1.251077034655978,unstimulated_PD_1 ,PD_1 ,1,0 min,unstimulated
