column
Protein
Protein ID
Entry Name
Gene
Protein Length
Organism
Protein Existence
Protein name
Protein Probability
Top Peptide Probability
PD1 reporter unstimulated
230801kw_MKreileder_ProtA1_S3_A2_1_15848 MaxLFQ Intensity
230801kw_MKreileder_ProtB1_S3_B3_1_15861 MaxLFQ Intensity
230801kw_MKreileder_ProtB1_S3_B4_1_15862 MaxLFQ Intensity
230801kw_MKreileder_ProtC1_S3_A5_1_15888 MaxLFQ Intensity
230801kw_MKreileder_ProtC1_S3_A6_1_15889 MaxLFQ Intensity
230801kw_MKreileder_ProtD1_S3_B7_1_15902 MaxLFQ Intensity
230801kw_MKreileder_ProtD1_S3_B8_1_15903 MaxLFQ Intensity
PD-1 reporter TCS Ctrl 5min
230801kw_MKreileder_ProtA2_S3_A9_1_15916 MaxLFQ Intensity
230801kw_MKreileder_ProtB2_S3_B11_1_15930 MaxLFQ Intensity
230801kw_MKreileder_ProtB2_S3_B12_1_15931 MaxLFQ Intensity
230801kw_MKreileder_ProtC2_S3_B1_1_15944 MaxLFQ Intensity
230801kw_MKreileder_ProtC2_S3_B2_1_15945 MaxLFQ Intensity
230801kw_MKreileder_ProtD2_S3_C3_1_15958 MaxLFQ Intensity
230801kw_MKreileder_ProtD2_S3_C4_1_15959 MaxLFQ Intensity
PD-1 reporter TCS Ctrl 20 min
230801kw_MKreileder_ProtA3_S3_A4_1_15850 MaxLFQ Intensity
230801kw_MKreileder_ProtB3_S3_B5_1_15863 MaxLFQ Intensity
230801kw_MKreileder_ProtB3_S3_B6_1_15864 MaxLFQ Intensity
230801kw_MKreileder_ProtC3_S3_A7_1_15890 MaxLFQ Intensity
230801kw_MKreileder_ProtC3_S3_A8_1_15891 MaxLFQ Intensity
230801kw_MKreileder_ProtD3_S3_B10_1_15905 MaxLFQ Intensity
230801kw_MKreileder_ProtD3_S3_B9_1_15904 MaxLFQ Intensity
PD-1 reporter TCS Ctrl 4h
230801kw_MKreileder_ProtA4_S3_A12_1_15919 MaxLFQ Intensity
230801kw_MKreileder_ProtB4_S3_A1_1_15932 MaxLFQ Intensity
230801kw_MKreileder_ProtB4_S3_A2_1_15933 MaxLFQ Intensity
230801kw_MKreileder_ProtC4_S3_B3_1_15946 MaxLFQ Intensity
230801kw_MKreileder_ProtC4_S3_B4_1_15947 MaxLFQ Intensity
230801kw_MKreileder_ProtD4_S3_C5_1_15960 MaxLFQ Intensity
230801kw_MKreileder_ProtD4_S3_C6_1_15961 MaxLFQ Intensity
PD-1 TCS  PDL1 5 min
230801kw_MKreileder_ProtA5_S3_A6_1_15852 MaxLFQ Intensity
230801kw_MKreileder_ProtB5_S3_B7_1_15865 MaxLFQ Intensity
230801kw_MKreileder_ProtB5_S3_B8_1_15866 MaxLFQ Intensity
230801kw_MKreileder_ProtC5_S3_A10_1_15893 MaxLFQ Intensity
230801kw_MKreileder_ProtC5_S3_A9_1_15892 MaxLFQ Intensity
230801kw_MKreileder_ProtD5_S3_B11_1_15906 MaxLFQ Intensity
230801kw_MKreileder_ProtD5_S3_B12_1_15907 MaxLFQ Intensity
PD-1 TCS PDL1 20 min
230801kw_MKreileder_ProtA6_S3_B2_1_15921 MaxLFQ Intensity
230801kw_MKreileder_ProtB6_S3_A3_1_15934 MaxLFQ Intensity
230801kw_MKreileder_ProtB6_S3_A4_1_15935 MaxLFQ Intensity
230801kw_MKreileder_ProtC6_S3_B5_1_15948 MaxLFQ Intensity
230801kw_MKreileder_ProtC6_S3_B6_1_15949 MaxLFQ Intensity
230801kw_MKreileder_ProtD6_S3_C7_1_15962 MaxLFQ Intensity
230801kw_MKreileder_ProtD6_S3_C8_1_15963 MaxLFQ Intensity
PD-1 TCS PDL1 4h
230801kw_MKreileder_ProtA7_S3_A8_1_15854 MaxLFQ Intensity
230801kw_MKreileder_ProtB7_S3_B10_1_15868 MaxLFQ Intensity
230801kw_MKreileder_ProtB7_S3_B9_1_15867 MaxLFQ Intensity
230801kw_MKreileder_ProtC7_S3_A11_1_15894 MaxLFQ Intensity
230801kw_MKreileder_ProtC7_S3_A12_1_15895 MaxLFQ Intensity
230801kw_MKreileder_ProtD7_S3_A1_1_15908 MaxLFQ Intensity
230801kw_MKreileder_ProtD7_S3_A2_1_15909 MaxLFQ Intensity
Reporter Control unstimulated
230801kw_MKreileder_ProtA8_S3_B4_1_15923 MaxLFQ Intensity
230801kw_MKreileder_ProtB8_S3_A5_1_15936 MaxLFQ Intensity
230801kw_MKreileder_ProtB8_S3_A6_1_15937 MaxLFQ Intensity
230801kw_MKreileder_ProtC8_S3_B7_1_15950 MaxLFQ Intensity
230801kw_MKreileder_ProtC8_S3_B8_1_15951 MaxLFQ Intensity
230801kw_MKreileder_ProtD8_S3_C10_1_15965 MaxLFQ Intensity
230801kw_MKreileder_ProtD8_S3_C9_1_15964 MaxLFQ Intensity
Reporter Control TCS Ctrl 5 min
230801kw_MKreileder_ProtA9_S3_A9_1_15855 MaxLFQ Intensity
