Protein ID,Entry Name,Gene,Protein,Protein name,Protein Length,Organism,Protein Existence,Protein Probability,Top Peptide Probability,PD1,CTRL,log2FC_PD1_vs_CTRL,time
Q9UBI1,COMD3_HUMAN,COMMD3,sp|Q9UBI1|COMD3_HUMAN,COMM domain-containing protein 3,195,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,19.255024880434306,0.0,19.255024880434306,0 min
Q9H9Y4,GPN2_HUMAN,GPN2,sp|Q9H9Y4|GPN2_HUMAN,GPN-loop GTPase 2,310,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,19.000894720217158,0.0,19.000894720217158,0 min
P78417,GSTO1_HUMAN,GSTO1,sp|P78417|GSTO1_HUMAN,Glutathione S-transferase omega-1,241,Homo sapiens,1:Experimental evidence at protein level,0.9998,0.999,18.405963616870118,0.0,18.405963616870118,0 min
P60059,SC61G_HUMAN,SEC61G,sp|P60059|SC61G_HUMAN,Protein transport protein Sec61 subunit gamma,68,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,17.84091484136475,0.0,17.84091484136475,0 min
P61960,UFM1_HUMAN,UFM1,sp|P61960|UFM1_HUMAN,Ubiquitin-fold modifier 1,85,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,17.123369813463793,0.0,17.123369813463793,0 min
Q99622,C10_HUMAN,C12orf57,sp|Q99622|C10_HUMAN,Protein C10,126,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,17.072023292256223,0.0,17.072023292256223,0 min
P14406,CX7A2_HUMAN,COX7A2,sp|P14406|CX7A2_HUMAN,"Cytochrome c oxidase subunit 7A2, mitochondrial",83,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,17.068764635116892,0.0,17.068764635116892,0 min
P29218,IMPA1_HUMAN,IMPA1,sp|P29218|IMPA1_HUMAN,Inositol monophosphatase 1,277,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,17.01292019645812,0.0,17.01292019645812,0 min
Q9UHY1,NRBP_HUMAN,NRBP1,sp|Q9UHY1|NRBP_HUMAN,Nuclear receptor-binding protein,535,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.92023106704878,0.0,16.92023106704878,0 min
Q9Y248,PSF2_HUMAN,GINS2,sp|Q9Y248|PSF2_HUMAN,DNA replication complex GINS protein PSF2,185,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.870009565389033,0.0,16.870009565389033,0 min
Q9BVK6,TMED9_HUMAN,TMED9,sp|Q9BVK6|TMED9_HUMAN,Transmembrane emp24 domain-containing protein 9,235,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.805394364147045,0.0,16.805394364147045,0 min
Q9Y2R5,RT17_HUMAN,MRPS17,sp|Q9Y2R5|RT17_HUMAN,"28S ribosomal protein S17, mitochondrial",130,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.704308207033787,0.0,16.704308207033787,0 min
O60831,PRAF2_HUMAN,PRAF2,sp|O60831|PRAF2_HUMAN,PRA1 family protein 2,178,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.668360937353672,0.0,16.668360937353672,0 min
O43181,NDUS4_HUMAN,NDUFS4,sp|O43181|NDUS4_HUMAN,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial",175,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.658406062720232,0.0,16.658406062720232,0 min
Q15388,TOM20_HUMAN,TOMM20,sp|Q15388|TOM20_HUMAN,Mitochondrial import receptor subunit TOM20 homolog,145,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.63916898267258,0.0,16.63916898267258,0 min
Q9UK45,LSM7_HUMAN,LSM7,sp|Q9UK45|LSM7_HUMAN,U6 snRNA-associated Sm-like protein LSm7,103,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.537689038214953,0.0,16.537689038214953,0 min
Q3ZCM7,TBB8_HUMAN,TUBB8,sp|Q3ZCM7|TBB8_HUMAN,Tubulin beta-8 chain,444,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.531213070266393,0.0,16.531213070266393,0 min
P54652,HSP72_HUMAN,HSPA2,sp|P54652|HSP72_HUMAN,Heat shock-related 70 kDa protein 2,639,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.484605636774408,0.0,16.484605636774408,0 min
