Protein ID,Entry Name,Gene,Protein,Protein name,Protein Length,Organism,Protein Existence,Protein Probability,Top Peptide Probability,PD1,CTRL,log2FC_PD1_vs_CTRL,time
P32019,I5P2_HUMAN,INPP5B,sp|P32019|I5P2_HUMAN,"Type II inositol 1,4,5-trisphosphate 5-phosphatase",993,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,16.153305764007033,-16.153305764007033,5 min
Q6P444,MTFR2_HUMAN,MTFR2,sp|Q6P444|MTFR2_HUMAN,Mitochondrial fission regulator 2,385,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,15.70507854175671,-15.70507854175671,5 min
P50225,ST1A1_HUMAN,SULT1A1,sp|P50225|ST1A1_HUMAN,Sulfotransferase 1A1,295,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,15.676700573427594,-15.676700573427594,5 min
P51817,PRKX_HUMAN,PRKX,sp|P51817|PRKX_HUMAN,cAMP-dependent protein kinase catalytic subunit PRKX,358,Homo sapiens,1:Experimental evidence at protein level,0.9998,0.999,0.0,15.651982988477641,-15.651982988477641,5 min
Q7L273,KCTD9_HUMAN,KCTD9,sp|Q7L273|KCTD9_HUMAN,BTB/POZ domain-containing protein KCTD9,389,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,15.571596496801355,-15.571596496801355,5 min
Q15223,NECT1_HUMAN,NECTIN1,sp|Q15223|NECT1_HUMAN,Nectin-1,517,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,15.505838531087088,-15.505838531087088,5 min
Q8TB36,GDAP1_HUMAN,GDAP1,sp|Q8TB36|GDAP1_HUMAN,Ganglioside-induced differentiation-associated protein 1,358,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,15.33875069939138,-15.33875069939138,5 min
O00189,AP4M1_HUMAN,AP4M1,sp|O00189|AP4M1_HUMAN,AP-4 complex subunit mu-1,453,Homo sapiens,1:Experimental evidence at protein level,0.9994,0.9984,0.0,15.312329391114732,-15.312329391114732,5 min
O94830,DDHD2_HUMAN,DDHD2,sp|O94830|DDHD2_HUMAN,Phospholipase DDHD2,711,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,15.213809332760823,-15.213809332760823,5 min
Q9NP92,RT30_HUMAN,MRPS30,sp|Q9NP92|RT30_HUMAN,"39S ribosomal protein S30, mitochondrial",439,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,15.211371054516167,-15.211371054516167,5 min
Q53S33,BOLA3_HUMAN,BOLA3,sp|Q53S33|BOLA3_HUMAN,BolA-like protein 3,107,Homo sapiens,1:Experimental evidence at protein level,0.9999,0.999,0.0,15.195926881652312,-15.195926881652312,5 min
Q9NQ50,RM40_HUMAN,MRPL40,sp|Q9NQ50|RM40_HUMAN,"39S ribosomal protein L40, mitochondrial",206,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,15.107891530066755,-15.107891530066755,5 min
Q9NYV6,RRN3_HUMAN,RRN3,sp|Q9NYV6|RRN3_HUMAN,RNA polymerase I-specific transcription initiation factor RRN3,651,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,15.072856061917172,-15.072856061917172,5 min
Q8IZ07,AN13A_HUMAN,ANKRD13A,sp|Q8IZ07|AN13A_HUMAN,Ankyrin repeat domain-containing protein 13A,590,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,15.030429032694784,-15.030429032694784,5 min
O15121,DEGS1_HUMAN,DEGS1,sp|O15121|DEGS1_HUMAN,Sphingolipid delta(4)-desaturase DES1,323,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,15.002248177024866,-15.002248177024866,5 min
Q9NUQ7,UFSP2_HUMAN,UFSP2,sp|Q9NUQ7|UFSP2_HUMAN,Ufm1-specific protease 2,469,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.952209085552397,-14.952209085552397,5 min
Q86US8,EST1A_HUMAN,SMG6,sp|Q86US8|EST1A_HUMAN,Telomerase-binding protein EST1A,1419,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.947918260007093,-14.947918260007093,5 min
