Protein ID,Entry Name,Gene,Protein,Protein name,Protein Length,Organism,Protein Existence,Protein Probability,Top Peptide Probability,PD1,CTRL,log2FC_PD1_vs_CTRL,time
A0A075B767,PAL4H_HUMAN,PPIAL4H,sp|A0A075B767|PAL4H_HUMAN,Peptidyl-prolyl cis-trans isomerase A-like 4H,164,Homo sapiens,3:Protein inferred from homology,0.9946,0.999,0.0,0.0,0.0,0 min
A0A0B4J2A2,PAL4C_HUMAN,PPIAL4C,sp|A0A0B4J2A2|PAL4C_HUMAN,Peptidyl-prolyl cis-trans isomerase A-like 4C,164,Homo sapiens,2:Experimental evidence at transcript level,1.0,0.999,0.0,0.0,0.0,0 min
A0A0B4J2D5,GAL3B_HUMAN,GATD3B,sp|A0A0B4J2D5|GAL3B_HUMAN,"Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",268,Homo sapiens,5:Protein uncertain,1.0,0.999,16.698959497600605,15.300939501102269,1.398019996498336,0 min
A0A0B4J2E0,TVBL4_HUMAN,TRBV12-4,sp|A0A0B4J2E0|TVBL4_HUMAN,T cell receptor beta variable 12-4,115,Homo sapiens,1:Experimental evidence at protein level,0.9944,0.999,14.221495741643535,14.900199350558744,-0.6787036089152085,0 min
A0A0U1RRE5,NBDY_HUMAN,NBDY,sp|A0A0U1RRE5|NBDY_HUMAN,Negative regulator of P-body association,68,Homo sapiens,1:Experimental evidence at protein level,0.9996,0.999,15.854164927165806,0.0,15.854164927165806,0 min
A0A2R8Y619,H2BK1_HUMAN,H2BK1,sp|A0A2R8Y619|H2BK1_HUMAN,Histone H2B type 2-K1,122,Homo sapiens,3:Protein inferred from homology,0.998,0.9989,0.0,0.0,0.0,0 min
A0A5B9,TRBC2_HUMAN,TRBC2,sp|A0A5B9|TRBC2_HUMAN,T cell receptor beta constant 2,178,Homo sapiens,1:Experimental evidence at protein level,0.9719,0.999,0.0,13.755238636281915,-13.755238636281915,0 min
A0AVT1,UBA6_HUMAN,UBA6,sp|A0AVT1|UBA6_HUMAN,Ubiquitin-like modifier-activating enzyme 6,1052,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.630053065768085,16.735662450476028,-0.10560938470794312,0 min
A0JLT2,MED19_HUMAN,MED19,sp|A0JLT2|MED19_HUMAN,Mediator of RNA polymerase II transcription subunit 19,244,Homo sapiens,1:Experimental evidence at protein level,0.9937,0.999,0.0,0.0,0.0,0 min
A0JNW5,BLT3B_HUMAN,BLTP3B,sp|A0JNW5|BLT3B_HUMAN,Bridge-like lipid transfer protein family member 3B,1464,Homo sapiens,1:Experimental evidence at protein level,1.0,0.9989,0.0,11.79383249670868,-11.79383249670868,0 min
