Protein ID,Entry Name,Gene,Protein,Protein name,Protein Length,Organism,Protein Existence,Protein Probability,Top Peptide Probability,PD1,CTRL,log2FC_PD1_vs_CTRL,time
P35222,CTNB1_HUMAN,CTNNB1,sp|P35222|CTNB1_HUMAN,Catenin beta-1,781,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,17.652881309580653,-17.652881309580653,4 h
Q6P444,MTFR2_HUMAN,MTFR2,sp|Q6P444|MTFR2_HUMAN,Mitochondrial fission regulator 2,385,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,16.979555703550584,-16.979555703550584,4 h
Q7Z6I8,CE024_HUMAN,C5orf24,sp|Q7Z6I8|CE024_HUMAN,UPF0461 protein C5orf24,188,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,16.71760963341599,-16.71760963341599,4 h
P27482,CALL3_HUMAN,CALML3,sp|P27482|CALL3_HUMAN,Calmodulin-like protein 3,149,Homo sapiens,1:Experimental evidence at protein level,1.0,0.9988,0.0,16.32937244389658,-16.32937244389658,4 h
P20290,BTF3_HUMAN,BTF3,sp|P20290|BTF3_HUMAN,Transcription factor BTF3,206,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,16.311337011026925,-16.311337011026925,4 h
P50225,ST1A1_HUMAN,SULT1A1,sp|P50225|ST1A1_HUMAN,Sulfotransferase 1A1,295,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,16.175695365369805,-16.175695365369805,4 h
Q9H361,PABP3_HUMAN,PABPC3,sp|Q9H361|PABP3_HUMAN,Polyadenylate-binding protein 3,631,Homo sapiens,1:Experimental evidence at protein level,1.0,0.9989,0.0,15.941072799933007,-15.941072799933007,4 h
Q96NY8,NECT4_HUMAN,NECTIN4,sp|Q96NY8|NECT4_HUMAN,Nectin-4,510,Homo sapiens,1:Experimental evidence at protein level,1.0,0.9989,0.0,15.938344230245225,-15.938344230245225,4 h
P56385,ATP5I_HUMAN,ATP5ME,sp|P56385|ATP5I_HUMAN,"ATP synthase subunit e, mitochondrial",69,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,15.761615334663631,-15.761615334663631,4 h
P51817,PRKX_HUMAN,PRKX,sp|P51817|PRKX_HUMAN,cAMP-dependent protein kinase catalytic subunit PRKX,358,Homo sapiens,1:Experimental evidence at protein level,0.9998,0.999,0.0,15.709158276275264,-15.709158276275264,4 h
O15037,KHNYN_HUMAN,KHNYN,sp|O15037|KHNYN_HUMAN,Protein KHNYN,678,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,15.579656573820138,-15.579656573820138,4 h
Q9UGP8,SEC63_HUMAN,SEC63,sp|Q9UGP8|SEC63_HUMAN,Translocation protein SEC63 homolog,760,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,15.567285763443707,-15.567285763443707,4 h
Q15223,NECT1_HUMAN,NECTIN1,sp|Q15223|NECT1_HUMAN,Nectin-1,517,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,15.31819919373035,-15.31819919373035,4 h
P18858,DNLI1_HUMAN,LIG1,sp|P18858|DNLI1_HUMAN,DNA ligase 1,919,Homo sapiens,1:Experimental evidence at protein level,0.9998,0.999,0.0,15.222402432390282,-15.222402432390282,4 h
P61457,PHS_HUMAN,PCBD1,sp|P61457|PHS_HUMAN,Pterin-4-alpha-carbinolamine dehydratase,104,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,15.182619449464433,-15.182619449464433,4 h
P46531,NOTC1_HUMAN,NOTCH1,sp|P46531|NOTC1_HUMAN,Neurogenic locus notch homolog protein 1,2555,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,15.17981355203052,-15.17981355203052,4 h
Q53T59,H1BP3_HUMAN,HS1BP3,sp|Q53T59|H1BP3_HUMAN,HCLS1-binding protein 3,392,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,15.151310023852854,-15.151310023852854,4 h
Q5RKV6,EXOS6_HUMAN,EXOSC6,sp|Q5RKV6|EXOS6_HUMAN,Exosome complex component MTR3,272,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,15.138384864633341,-15.138384864633341,4 h
Q9UBV8,PEF1_HUMAN,PEF1,sp|Q9UBV8|PEF1_HUMAN,Peflin,284,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,15.092018468254363,-15.092018468254363,4 h
Q13432,U119A_HUMAN,UNC119,sp|Q13432|U119A_HUMAN,Protein unc-119 homolog A,240,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,15.088142011169023,-15.088142011169023,4 h
O75477,ERLN1_HUMAN,ERLIN1,sp|O75477|ERLN1_HUMAN,Erlin-1,348,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,15.073928201937463,-15.073928201937463,4 h
P10253,LYAG_HUMAN,GAA,sp|P10253|LYAG_HUMAN,Lysosomal alpha-glucosidase,952,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,15.053894122461617,-15.053894122461617,4 h
Q15628,TRADD_HUMAN,TRADD,sp|Q15628|TRADD_HUMAN,Tumor necrosis factor receptor type 1-associated DEATH domain protein,312,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,15.042795920426087,-15.042795920426087,4 h
Q7L3B6,CD37L_HUMAN,CDC37L1,sp|Q7L3B6|CD37L_HUMAN,Hsp90 co-chaperone Cdc37-like 1,337,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.94779397673939,-14.94779397673939,4 h
Q9H9Y2,RPF1_HUMAN,RPF1,sp|Q9H9Y2|RPF1_HUMAN,Ribosome production factor 1,349,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.933779238526181,-14.933779238526181,4 h
Q13630,FCL_HUMAN,GFUS,sp|Q13630|FCL_HUMAN,GDP-L-fucose synthase,321,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.922782422908668,-14.922782422908668,4 h
Q9UKA4,AKA11_HUMAN,AKAP11,sp|Q9UKA4|AKA11_HUMAN,A-kinase anchor protein 11,1901,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.916910540905832,-14.916910540905832,4 h
Q96A35,RM24_HUMAN,MRPL24,sp|Q96A35|RM24_HUMAN,"39S ribosomal protein L24, mitochondrial",216,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.891707897583196,-14.891707897583196,4 h
Q9NVX0,HAUS2_HUMAN,HAUS2,sp|Q9NVX0|HAUS2_HUMAN,HAUS augmin-like complex subunit 2,235,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.889560168663195,-14.889560168663195,4 h
